Date,Source,Vendor (raw),Amount,Classification,Project/Category,Confirmed by Samantha,Notes
04/21/2026,Amex,MEG BROWN HOME FURNIADVANCE NC,4002.57,Excluded - Personal Property,,,
04/22/2026,Chase,LOGANS GARDEN SHOP,76.49,Repair/Maintenance (excluded),,,
04/23/2026,Chase,LOGANS GARDEN SHOP,16.08,Repair/Maintenance (excluded),,,
04/25/2026,Chase,FRANK'S PERENNIAL BORDER,213.16,Repair/Maintenance (excluded),,,
04/29/2026,Chase,LAURELSGAR* LAURELS GA,97.03,Needs Review,,,
04/30/2026,Chase,LOGANS GARDEN SHOP,350.59,Repair/Maintenance (excluded),,,
04/30/2026,Chase,SQ *NAKATOMI GARDENS,299.60,Needs Review,,,
05/01/2026,Amex,WWP*TRIANGLE PEST COHOLLY SPRINGS NC,39.93,Repair/Maintenance (excluded),,,
05/01/2026,Chase,IN *MARBLE BOTANICS LLC,480.00,Capital Improvement,,,
05/01/2026,Chase,LOWES #00625*,78.79,Capital Improvement,,,
05/04/2026,Chase,PINKS WINDOWS RALEIGH,624.00,Repair/Maintenance (excluded),,Yes — window cleaning service,"Window cleaning (maintenance), confirmed 2026; not installation/replacement"
05/13/2026,Chase,MEDLIN-DAVIS CLEANERS,31.86,Needs Review,,,
05/19/2026,Chase,LOGANS GARDEN SHOP,164.49,Repair/Maintenance (excluded),,,
05/20/2026,Chase,LOWES #00444*,8.34,Capital Improvement,,,
05/23/2026,Chase,SP EAST FORK,144.79,Repair/Maintenance (excluded),,,
05/27/2026,Chase,IN *MARBLE BOTANICS LLC,2240.40,Capital Improvement,,,
05/28/2026,Chase,WF* WAYFAIR4446345605,420.42,Excluded - Personal Property,,,
06/01/2026,Amex,WWP*TRIANGLE PEST COHOLLY SPRINGS NC,39.93,Repair/Maintenance (excluded),,,
06/04/2026,Amex,IN *MARBLE BOTANICS RALEIGH NC,4375.00,Capital Improvement,,,
06/04/2026,Amex,LEAF&LIMB RALEIGH NC,291.67,Repair/Maintenance (excluded),,,
06/04/2026,Chase,IN *MARBLE BOTANICS LLC,480.00,Capital Improvement,,,
06/13/2026,Amex,LOGANS GARDEN SHOP RALEIGH NC,1016.00,Repair/Maintenance (excluded),,,
06/15/2026,Chase,MEDLIN-DAVIS CLEANERS,23.92,Needs Review,,,
06/16/2026,Chase,PY *CLEARDEFENSE - RALEIG,157.00,Repair/Maintenance (excluded),,,
06/17/2026,Amex,ALTERNATIVE POWER SAMORRISVILLE NC,423.64,Capital Improvement,,,
06/17/2026,Chase,LOWES #00625*,204.83,Capital Improvement,,,
06/17/2026,Chase,SP VEGO GARDEN,135.03,Repair/Maintenance (excluded),,,
06/23/2026,Chase,LOGANS GARDEN SHOP,242.06,Repair/Maintenance (excluded),,,
06/24/2026,Chase,LOWES #00625*,55.04,Capital Improvement,,,
06/29/2026,Amex,FINE*GARDENING 866-288-4167 IA,34.95,Excluded - Personal Property,,,
12/30/2025,Chase,THE HOME DEPOT 3634,44.27,Capital Improvement,,,
